a_cha=a ch_a,1,2,3,4,5
a_chao=a ch_au,1,2,3,4,5
a_che=a ch_e,1,2,3,4,5
a_chen=a ch_en,1,2,3,4,5
a_chi=a ch_i,1,2,3,4,5
a_chou=a ch_o,1,2,3,4,5
a_chu=a ch_u,1,2,3,4,5
o_cha=o ch_a,1,2,3,4,5
o_cha=o ch_ao,1,2,3,4,5
o_che=o ch_e,1,2,3,4,5
o_chen=o ch_en,1,2,3,4,5
o_chi=o ch_i,1,2,3,4,5
o_chou=o ch_o,1,2,3,4,5
o_chu=o ch_u,1,2,3,4,5
e_cha=e ch_a,1,2,3,4,5
e_cha=e ch_ao,1,2,3,4,5
e_che=e ch_e,1,2,3,4,5
e_chen=e ch_en,1,2,3,4,5
e_chi=e ch_i,1,2,3,4,5
e_chou=e ch_o,1,2,3,4,5
e_chu=e ch_u,1,2,3,4,5
i_cha=i ch_a,1,2,3,4,5
i_cha=i ch_ao,1,2,3,4,5
i_che=i ch_e,1,2,3,4,5
i_chen=i ch_en,1,2,3,4,5
i_chi=i ch_i,1,2,3,4,5
i_chou=i ch_o,1,2,3,4,5
i_chu=i ch_u,1,2,3,4,5
u_cha=u ch_a,1,2,3,4,5
u_cha=u ch_ao,1,2,3,4,5
u_che=u ch_e,1,2,3,4,5
u_chen=u ch_en,1,2,3,4,5
u_chi=u ch_i,1,2,3,4,5
u_chou=u ch_o,1,2,3,4,5
u_chu=u ch_u,1,2,3,4,5
v_cha=v ch_a,1,2,3,4,5
v_cha=v ch_ao,1,2,3,4,5
v_che=v ch_e,1,2,3,4,5
v_chen=v ch_en,1,2,3,4,5
v_chi=v ch_i,1,2,3,4,5
v_chou=v ch_o,1,2,3,4,5
v_chu=v ch_u,1,2,3,4,5
ei_cha=l ch_a,1,2,3,4,5
ei_cha=l ch_ao,1,2,3,4,5
ei_che=l ch_e,1,2,3,4,5
ei_chen=l ch_en,1,2,3,4,5
ei_chi=l ch_i,1,2,3,4,5
ei_chou=l ch_o,1,2,3,4,5
ei_chu=l ch_u,1,2,3,4,5
ao_cha=au ch_a,1,2,3,4,5
ao_cha=au ch_ao,1,2,3,4,5
ao_che=au ch_e,1,2,3,4,5
ao_chen=au ch_en,1,2,3,4,5
ao_chi=au ch_i,1,2,3,4,5
ao_chou=au ch_o,1,2,3,4,5
ao_chu=au ch_u,1,2,3,4,5
ie_cha=e@ ch_a,1,2,3,4,5
ie_cha=e@ ch_ao,1,2,3,4,5
ie_che=e@ ch_e,1,2,3,4,5
ie_chen=e@ ch_en,1,2,3,4,5
ie_chi=e@ ch_i,1,2,3,4,5
ie_chou=e@ ch_o,1,2,3,4,5
ie_chu=e@ ch_u,1,2,3,4,5
en_cha=n ch_a,1,2,3,4,5
en_cha=n ch_ao,1,2,3,4,5
en_che=n ch_e,1,2,3,4,5
en_chen=n ch_en,1,2,3,4,5
en_chi=n ch_i,1,2,3,4,5
en_chou=n ch_o,1,2,3,4,5
en_chu=n ch_u,1,2,3,4,5
eng_cha=ng ch_a,1,2,3,4,5
eng_cha=ng ch_ao,1,2,3,4,5
eng_che=ng ch_e,1,2,3,4,5
eng_chen=ng ch_en,1,2,3,4,5
eng_chi=ng ch_i,1,2,3,4,5
eng_chou=ng ch_o,1,2,3,4,5
eng_chu=ng ch_u,1,2,3,4,5
er_cha=r ch_a,1,2,3,4,5
er_cha=r ch_ao,1,2,3,4,5
er_che=r ch_e,1,2,3,4,5
er_chen=r ch_en,1,2,3,4,5
er_chi=r ch_i,1,2,3,4,5
er_chou=r ch_o,1,2,3,4,5
er_chu=r ch_u,1,2,3,4,5
zi_cha=iz ch_a,1,2,3,4,5
zi_cha=iz ch_ao,1,2,3,4,5
zi_che=iz ch_e,1,2,3,4,5
zi_chen=iz ch_en,1,2,3,4,5
zi_chi=iz ch_i,1,2,3,4,5
zi_chou=iz ch_o,1,2,3,4,5
zi_chu=iz ch_u,1,2,3,4,5
zhi_cha=ir ch_a,1,2,3,4,5
zhi_cha=ir ch_ao,1,2,3,4,5
zhi_che=ir ch_e,1,2,3,4,5
zhi_chen=ir ch_en,1,2,3,4,5
zhi_chi=ir ch_i,1,2,3,4,5
zhi_chou=ir ch_o,1,2,3,4,5
zhi_chu=ir ch_u,1,2,3,4,5
